[2021-05-21 14:18:14][XChatProvider][main-2] onCreate
[2021-05-21 14:18:14][WebRTC][main-2] RegisterActivityLifecycleCallbacks
[2021-05-21 14:18:14][WebRTC][main-2] onActivityCreated com.yitong.mbank.psbc.android.activity.SplashActivity
[2021-05-21 14:18:14][WebRTC][main-2] onActivityStarted com.yitong.mbank.psbc.android.activity.SplashActivity
[2021-05-21 14:18:14][WebRTC][main-2] onActivityResumed com.yitong.mbank.psbc.android.activity.SplashActivity
[2021-05-21 14:18:18][WebRTC][main-2] onActivityPaused com.yitong.mbank.psbc.android.activity.SplashActivity
[2021-05-21 14:18:18][WebRTC][main-2] onActivityCreated com.yitong.mbank.psbc.android.activity.MainActivity
[2021-05-21 14:18:18][WebRTC][main-2] onActivityStarted com.yitong.mbank.psbc.android.activity.MainActivity
[2021-05-21 14:18:19][WebRTC][main-2] onActivityResumed com.yitong.mbank.psbc.android.activity.MainActivity
[2021-05-21 14:18:20][WebRTC][main-2] onActivityStopped com.yitong.mbank.psbc.android.activity.SplashActivity
[2021-05-21 14:18:20][WebRTC][main-2] onActivityDestroyed com.yitong.mbank.psbc.android.activity.SplashActivity
[2021-05-21 14:18:24][WebRTC][main-2] onActivityPaused com.yitong.mbank.psbc.android.activity.MainActivity
[2021-05-21 14:18:24][WebRTC][main-2] onActivityCreated com.yitong.mbank.psbc.android.activity.LoginActivity
[2021-05-21 14:18:24][WebRTC][main-2] onActivityStarted com.yitong.mbank.psbc.android.activity.LoginActivity
[2021-05-21 14:18:24][WebRTC][main-2] onActivityResumed com.yitong.mbank.psbc.android.activity.LoginActivity
[2021-05-21 14:18:24][WebRTC][main-2] onActivityStopped com.yitong.mbank.psbc.android.activity.MainActivity
[2021-05-21 14:18:25][WebRTC][main-2] onActivityPaused com.yitong.mbank.psbc.android.activity.LoginActivity
[2021-05-21 14:18:25][WebRTC][main-2] onActivityCreated com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:18:25][WebRTC][main-2] onActivityStarted com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:18:25][WebRTC][main-2] onActivityResumed com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:18:26][WebRTC][main-2] onActivityStopped com.yitong.mbank.psbc.android.activity.LoginActivity
[2021-05-21 14:18:55][WebRTC][main-2] onActivityPaused com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:18:56][WebRTC][main-2] onActivityStopped com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:19:06][WebRTC][main-2] onActivityStarted com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:19:06][WebRTC][main-2] onActivityResumed com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:19:24][WebRTC][main-2] onActivityPaused com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:19:24][WebRTC][main-2] onActivityCreated com.yitong.utils.permissions.PermissionsActivity
[2021-05-21 14:19:24][WebRTC][main-2] onActivityStarted com.yitong.utils.permissions.PermissionsActivity
[2021-05-21 14:19:24][WebRTC][main-2] onActivityResumed com.yitong.utils.permissions.PermissionsActivity
[2021-05-21 14:19:25][WebRTC][main-2] onActivityPaused com.yitong.utils.permissions.PermissionsActivity
[2021-05-21 14:19:26][WebRTC][main-2] onActivityResumed com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:19:26][WebRTC][main-2] onActivityStopped com.yitong.utils.permissions.PermissionsActivity
[2021-05-21 14:19:26][WebRTC][main-2] onActivityDestroyed com.yitong.utils.permissions.PermissionsActivity
[2021-05-21 14:19:26][WebRTC][main-2] onActivityPaused com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:19:26][WebRTC][main-2] onActivityCreated com.hanvon.ocr.idcard.IDCardCameraActivity
[2021-05-21 14:19:26][WebRTC][main-2] onActivityStarted com.hanvon.ocr.idcard.IDCardCameraActivity
[2021-05-21 14:19:26][WebRTC][main-2] onActivityResumed com.hanvon.ocr.idcard.IDCardCameraActivity
[2021-05-21 14:19:26][WebRTC][main-2] onActivityStopped com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:19:37][WebRTC][main-2] onActivityPaused com.hanvon.ocr.idcard.IDCardCameraActivity
[2021-05-21 14:19:38][WebRTC][main-2] onActivityStopped com.hanvon.ocr.idcard.IDCardCameraActivity
[2021-05-21 14:19:39][WebRTC][main-2] onActivityStarted com.hanvon.ocr.idcard.IDCardCameraActivity
[2021-05-21 14:19:39][WebRTC][main-2] onActivityResumed com.hanvon.ocr.idcard.IDCardCameraActivity
[2021-05-21 14:19:45][WebRTC][main-2] onActivityPaused com.hanvon.ocr.idcard.IDCardCameraActivity
[2021-05-21 14:19:45][WebRTC][main-2] onActivityStarted com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:19:45][WebRTC][main-2] onActivityResumed com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:19:46][WebRTC][main-2] onActivityStopped com.hanvon.ocr.idcard.IDCardCameraActivity
[2021-05-21 14:19:46][WebRTC][main-2] onActivityDestroyed com.hanvon.ocr.idcard.IDCardCameraActivity
[2021-05-21 14:19:47][WebRTC][main-2] onActivityPaused com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:19:47][WebRTC][main-2] onActivityCreated com.hanvon.ocr.idcard.IDCardCameraActivity
[2021-05-21 14:19:47][WebRTC][main-2] onActivityStarted com.hanvon.ocr.idcard.IDCardCameraActivity
[2021-05-21 14:19:47][WebRTC][main-2] onActivityResumed com.hanvon.ocr.idcard.IDCardCameraActivity
[2021-05-21 14:19:48][WebRTC][main-2] onActivityStopped com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:19:53][WebRTC][main-2] onActivityPaused com.hanvon.ocr.idcard.IDCardCameraActivity
[2021-05-21 14:19:53][WebRTC][main-2] onActivityStarted com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:19:53][WebRTC][main-2] onActivityResumed com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:19:53][WebRTC][main-2] onActivityStopped com.hanvon.ocr.idcard.IDCardCameraActivity
[2021-05-21 14:19:53][WebRTC][main-2] onActivityDestroyed com.hanvon.ocr.idcard.IDCardCameraActivity
[2021-05-21 14:19:55][WebRTC][main-2] onActivityPaused com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:19:55][WebRTC][main-2] onActivityCreated com.hanvon.ocr.idcard.IDCardCameraActivity
[2021-05-21 14:19:55][WebRTC][main-2] onActivityStarted com.hanvon.ocr.idcard.IDCardCameraActivity
[2021-05-21 14:19:55][WebRTC][main-2] onActivityResumed com.hanvon.ocr.idcard.IDCardCameraActivity
